Year,Team,Record,Winning Percentage
2017,BOS,53-29,0.625
2017,ATL,43-39,0.575
2017,BRK,20-62,0.214
2017,CHO,36-46,0.512
2017,CHI,41-41,0.477
2017,CLE,51-31,0.714
2017,DAL,33-49,0.341
2017,DEN,40-42,0.419
2017,DET,37-45,0.467
2017,GSW,67-15,0.864
2017,HOU,55-27,0.723
2017,IND,42-40,0.512
2017,LAC,51-31,0.644
2017,LAL,26-56,0.333
2017,MEM,43-39,0.565
2017,MIA,41-41,0.318
2017,MIL,42-40,0.465
2017,MIN,31-51,0.364
2017,NOP,34-48,0.386
2017,OKC,47-35,0.568
2017,ORL,29-53,0.391
2017,PHI,28-54,0.357
2017,PHO,24-58,0.341
2017,POR,41-41,0.413
2017,SAC,32-50,0.372
2017,SAS,61-21,0.791
2017,TOR,51-31,0.636
2017,UTA,51-31,0.644
2017,WAS,49-33,0.535
2016,BOS,48-34,0.585
2016,ATL,48-34,0.585
2016,BRK,21-61,0.256
2016,CHO,48-34,0.585
2016,CHI,42-40,0.512
2016,CLE,57-25,0.695
2016,DAL,42-40,0.512
2016,DEN,33-49,0.402
2016,DET,44-38,0.537
2016,GSW,73-9,0.89
2016,HOU,41-41,0.5
2016,IND,45-37,0.549
2016,LAC,53-29,0.646
2016,LAL,17-65,0.207
2016,MEM,42-40,0.512
2016,MIA,48-34,0.585
2016,MIL,33-49,0.402
2016,MIN,29-53,0.354
2016,NOP,30-52,0.366
2016,OKC,55-27,0.671
2016,ORL,35-47,0.427
2016,PHI,Oct-72,0.122
2016,PHO,23-59,0.28
2016,POR,44-38,0.537
2016,SAC,33-49,0.402
2016,SAS,67-15,0.817
2016,TOR,56-26,0.683
2016,UTA,40-42,0.488
2016,WAS,41-41,0.5
2015,BOS,40-42,0.488
2015,ATL,60-22,0.732
2015,BRK,38-44,0.463
2015,CHO,33-49,0.402
2015,CHI,50-32,0.61
2015,CLE,53-29,0.646
2015,DAL,50-32,0.61
2015,DEN,30-52,0.366
2015,DET,32-50,0.39
2015,GSW,67-15,0.817
2015,HOU,56-26,0.683
2015,IND,38-44,0.463
2015,LAC,56-26,0.683
2015,LAL,21-61,0.256
2015,MEM,55-27,0.671
2015,MIA,37-45,0.451
2015,MIL,41-41,0.5
2015,MIN,16-66,0.195
2015,NOP,45-37,0.549
2015,NYK,17-65,0.207
2015,OKC,45-37,0.549
2015,ORL,25-57,0.305
2015,PHI,18-64,0.22
2015,PHO,39-43,0.476
2015,POR,51-31,0.622
2015,SAC,29-53,0.354
2015,SAS,55-27,0.671
2015,TOR,49-33,0.598
2015,UTA,38-44,0.463
2015,WAS,46-36,0.561
2014,BOS,25-57,0.305
2014,ATL,38-44,0.463
2014,BRK,44-38,0.537
2014,CHA,43-39,0.524
2014,CHI,48-34,0.585
2014,CLE,33-49,0.402
