Rk,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
1,2003,NBA,1,1,CLE,LeBron James,18.182,F-G,us,,2004.0,2019.0,1148.0,38.7,27.1,7.4,7.2,1.6,0.8,0.504,0.547,0.343,0.739,220.0,0.237
2,1997,NBA,1,1,SAS,Tim Duncan,21.066,F-C,vi,Wake Forest University,1998.0,2016.0,1392.0,34.0,19.0,10.8,3.0,0.7,2.2,0.506,0.509,0.179,0.696,206.4,0.209
3,1998,NBA,1,9,MIL,Dirk Nowitzki,20.01,F,de,,1999.0,2018.0,1471.0,34.4,21.2,7.7,2.5,0.8,0.9,0.472,0.497,0.383,0.879,206.1,0.196
4,2005,NBA,1,4,NOH,Chris Paul,20.058,G,us,Wake Forest University,2006.0,2019.0,895.0,35.3,18.7,4.5,9.8,2.2,0.1,0.472,0.505,0.372,0.868,165.1,0.251
5,1998,NBA,1,10,BOS,Paul Pierce,20.259,F-G,us,University of Kansas,1999.0,2017.0,1343.0,34.2,19.7,5.6,3.5,1.3,0.6,0.445,0.478,0.368,0.806,150.0,0.157
6,2001,NBA,1,3,ATL,Pau Gasol,20.361,F-C,es,,2002.0,2019.0,1200.0,33.9,17.3,9.3,3.2,0.5,1.6,0.508,0.512,0.369,0.754,143.2,0.169
7,2007,NBA,1,2,SEA,Kevin Durant,18.276,F-G,us,University of Texas at Austin,2008.0,2019.0,777.0,37.1,27.1,7.1,3.9,1.2,1.1,0.491,0.528,0.384,0.883,131.4,0.219
8,2004,NBA,1,1,ORL,Dwight Howard,18.203,C,us,,2005.0,2018.0,1035.0,34.5,17.4,12.7,1.5,0.9,2.0,0.583,0.585,0.095,0.566,128.3,0.172
9,1999,NBA,1,9,PHO,Shawn Marion,21.059,F,us,"University of Nevada, Las Vegas",2000.0,2015.0,1163.0,34.5,15.2,8.7,1.9,1.5,1.1,0.484,0.513,0.331,0.81,124.9,0.15
10,1998,NBA,1,5,GSW,Vince Carter,21.154,G-F,us,University of North Carolina,1999.0,2019.0,1409.0,31.4,17.7,4.5,3.3,1.0,0.6,0.437,0.461,0.373,0.799,123.7,0.134
11,1997,NBA,1,3,BOS,Chauncey Billups,20.278,G,us,University of Colorado,1998.0,2014.0,1043.0,31.6,15.2,2.9,5.4,1.0,0.2,0.415,0.435,0.387,0.894,120.8,0.176
12,2003,NBA,1,5,MIA,Dwyane Wade,21.165,G,us,Marquette University,2004.0,2019.0,986.0,34.5,22.4,4.7,5.5,1.6,0.9,0.482,0.503,0.287,0.767,118.3,0.167
13,2001,NBA,1,28,SAS,Tony Parker,19.046,G,be,,2002.0,2019.0,1204.0,31.0,15.8,2.8,5.7,0.9,0.1,0.492,0.511,0.326,0.752,110.5,0.142
14,1999,NBA,1,1,CHI,Elton Brand,20.116,F,us,Duke University,2000.0,2016.0,1058.0,33.0,15.9,8.5,2.1,0.9,1.7,0.5,0.501,0.095,0.736,109.6,0.151
15,2009,NBA,1,3,OKC,James Harden,19.308,G,us,Arizona State University,2010.0,2019.0,691.0,33.8,23.0,5.1,6.1,1.5,0.5,0.444,0.503,0.365,0.853,107.1,0.22
16,1999,NBA,2,57,SAS,Manu Ginobili,21.342,G,ar,,2003.0,2018.0,1057.0,25.4,13.3,3.5,3.8,1.3,0.3,0.447,0.498,0.369,0.827,106.4,0.19
17,2003,NBA,1,4,TOR,Chris Bosh,19.098,F-C,us,Georgia Institute of Technology,2004.0,2016.0,893.0,35.8,19.2,8.5,2.0,0.8,1.0,0.494,0.506,0.335,0.799,106.0,0.159
